outlet_name,outletcode,location_hierarchy,sub_channel,coordinate,latitude,longitude,address
SHARDA MEDICAL,PH059323,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.741812,77.1948536,"Shop No. 174, CHANDAN VIHAR, WEST SANT NAGAR, BURARI, DELHI, 110084"
Popli Medicos,PH087901,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6488457,77.1160441,Shop No.14 main market
HARI OM MEDICOS,PH115102,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6419772,77.0995223,SHOP NO -1 WZ-47
Kapoor Cosmetics,PH111571,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6455363,77.0880264,F-32 MANGAL BAZAR ROAD
Rozana BAZAAR,DS022351,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Super Grocery,[object Object],28.4985527,77.192018,292 maindan garhi  near
Radhika medicos,PH102629,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.489128,77.1911496,"Plot no-2 , khasra no-122/11 Ram"
MASTER Medicos,PH126565,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6216117,77.05792844,"Shop Number-14, Gurudawra Road,"
Rudraksh pharmacy,PH090627,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6643692,77.0470044,1/35 shop facing mall road Tilak
Vatsalya Medicos,PH108149,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6486761,77.1160034,Wz-485/1
Dr. Dheeraj Pet Shop(ROA)-Silver,CL001674,Metro > ASE-SPT-NCR-North-West 2 > New Delhi > Delhi > North > New Delhi > North Metro SPT > India,Clinic,[object Object],28.63821696,77.08138909,"235, Meera Bagh, Paschim Vihar, Delhi"
