outlet_name,outletcode,location_hierarchy,sub_channel,coordinate,latitude,longitude,address,loginId
Peddy Pet Shop-Gold,PS000678,Metro > ASE-SPT-NCR-North-West 1 > New Delhi > Delhi > North > New Delhi > North Metro SPT > India,Petshop,[object Object],28.53833952,77.29843172,"G.F.,18A,POCKET-M,JANTA FLAT,SARITA VIHAR,NEW DELHI",FSA-SPT-NCR-018
SATGURU MEDICOS,PH005039,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6518555,77.1017287,"WZ-283/16, NR. MADIWALI GALI, VISHNU GARDEN",DSR-GT-DEL-783
MAMTA MEDICAL STORE,PH041172,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.68926,77.0884599,"E-929, MANGOLPURI,NEW DELHI",DSR-NCR-037
Yogi enterprise,WG000862,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Wholesale Grocery,[object Object],28.4995109,77.2263334,A83 durga vihar,DSR-GT-NCR-772
Aggarwal medicos,PH111139,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.61832881,77.05548328,B-9 & 10 school road near mother,DSR-GT-NCR-760
Maha Lakshmi,PH110721,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.6958323,77.0814037,326 mangol puri near by sanjay,DSR-NCR-037
CD MEDICOS,PH118097,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.7089101,77.1674809,BK 1/7 EAST,DSR-NCR-031
Disruptlve health solutions Pvt.LTD,PH053801,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.5318896,77.311427,"c-68,okhla industrial Area phase 1",DSR-GT-NCR-572
LIFE CARE PHARMACY,PH111455,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.4722352,77.1339463,"Shop No.G-318 M,Khasra No. 1551/2,",DSR-GT-NCR-503
Radhika chemist,PH087709,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.5226682,77.1718392,Shop no 2H 177/F11 garhwal  0,DSR-GT-DEL-782
Baniya Ki Dukaan Pvt.Ltd.(KIRARI),DS013948,Metro > ASE-GT-NCR-North > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,MG Hypermarket,[object Object],28.6818664,77.0568969,"L BLK, KARAN SINGH MKT, PREM NAGAR, -II, NEW DELHI-110041",DSR-NCR-160
HELP CARE PHARMACY,PH121374,Metro > ASE-GT-NCR-South > New Delhi > Delhi > North > New Delhi > NCR-HAR > India,Pharmacy,[object Object],28.5028423,77.1719038,"Shop No-5,Mandi Road,New Delhi",DSR-GT-NCR-503
