placeId,address,sub_channel,phone,latitude,longitude,googleUrl,outlet_name,loginId,similarity_score
J6Xj-kcH_mzkRmniYNOF-0wY," VV8Q+GWG, Amber Ganj, Karim Ganj, Lucknow, Uttar Pradesh 226003",Supermarket, 076519 81363,26.8663189,80.8898293,https://www.google.com/maps/place/Apna+Mini+Store/data=!4m7!3m6!1s0x399bffc191fe78e9:0x6d37ee13498789a!8m2!3d26.8663189!4d80.8898293!16s%2Fg%2F11fkq8bs4x!19sChIJ6Xj-kcH_mzkRmniYNOF-0wY?authuser=0&hl=en&rclk=1,Apna Mini Store,DSR-E/UP-051,0.95
JfSVeNx79mzkRtXPYI1_0-pY," UGF, LGF, 195/067, Jagat Narayan Rd, Golaganj, Wazirganj, Lucknow, Uttar Pradesh 226018",Supermarket, 075710 20306,26.8571794,80.9198732,https://www.google.com/maps/place/P5+Bazaar+%28Golaganj%29+-+Fresh+Grocery+Store+%26+Supermarket+Essentials+for+Daily+Needs+%7C+Lucknow/data=!4m7!3m6!1s0x399bfd1e375e257d:0x96faf45f23d873b5!8m2!3d26.8571794!4d80.9198732!16s%2Fg%2F11y86qqf9k!19sChIJfSVeNx79mzkRtXPYI1_0-pY?authuser=0&hl=en&rclk=1,P5 Bazaar (Golaganj) - Fresh Grocery Store & Supermarket Essentials for Daily Needs | Lucknow,DSR-E/UP-051,0.95
JP_W0fsdXmTkRB6TtwX_FHAo," No CP3, & CP4, Danbro Tower, Sitapur Rd Yojna, near Danbro Training Institute, Sector B, Aliganj, Lucknow, Uttar Pradesh 226021 Located in: Danbro Institute of Bakery & Culinary Art & Science",Hypermarket, 1800 891 0001,26.9074353,80.9458806,https://www.google.com/maps/place/Reliance+SMART+Bazaar/data=!4m7!3m6!1s0x399957c77eb4f53f:0xa1cc57fc1eda407!8m2!3d26.9074353!4d80.9458806!16s%2Fg%2F11w1lnxfl9!19sChIJP_W0fsdXmTkRB6TtwX_FHAo?authuser=0&hl=en&rclk=1,Reliance SMART Bazaar,DSR-UP-381,0.75
JVdWAE4BXmTkRXIie6EI42fM," Sitapur Rd, near Engineering College Chauraha, Sector B, Jankipuram, Lucknow, Uttar Pradesh 226021",Hypermarket, 081788 08962,26.9105446,80.94828,https://www.google.com/maps/place/VISHAL+MEGA+MART/data=!4m7!3m6!1s0x399957801380d555:0xf3d93842e89e885c!8m2!3d26.9105446!4d80.94828!16s%2Fg%2F11qm38jyll!19sChIJVdWAE4BXmTkRXIie6EI42fM?authuser=0&hl=en&rclk=1,VISHAL MEGA MART,DSR-UP-381,0.75
Jx26VJolXmTkR0zqrexgTCP4," Sahara Estate &Grace Road, in front of Glamour Beauty Parlour, Lucknow, Uttar Pradesh 226021",Produce market, 063887 78077,26.9210439,80.953323,https://www.google.com/maps/place/BABA+JI+VEGETABLES+SHOP/data=!4m7!3m6!1s0x3999578926956ec7:0xfe0813187bab3ad3!8m2!3d26.9210439!4d80.953323!16s%2Fg%2F11rvlqw5js!19sChIJx26VJolXmTkR0zqrexgTCP4?authuser=0&hl=en&rclk=1,BABA JI VEGETABLES SHOP,DSR-UP-381,0.75
